"ステージ被り","","","",""
"ステージ名","キャラ名","","ステージ名","キャラ名"
"1-12","Ash","","3-6","パラス(X)"
"","二アール","","","エバンホルツ(Y)"
"","ドーベルマン","","","ナイチンゲール"
"","","","","ファントム"
"2-2","パッセンジャー(X)","","","マッターホルン"
"","マゼラン(Y)","","",""
"","アイリス","","S3-6","ウィスラッシュ"
"","","","","シェーシャ"
"2-3","イースチナ","","","レイズ"
"","ベナ","","",""
"","グレイ","","3-7","エバンホルツ(X)"
"","","","","バイビーク"
"S2-2","ファートゥース(X)","","","バイソン"
"","クーリエ","","","ウユウ"
"","","","","セイリュウ"
"S2-3","スワイヤー","","",""
"","Tachanka","","3-8","オーロラ"
"","","","","寒芒クルース"
"2-4","メテオリーテ","","",""
"","コンビクション","","4-3","パラス(Y)"
"","ディピカ","","","シー(Y)"
"","","","","ミズキ"
"2-5","ファートゥース(Y)","","","アステジーニ"
"","マゼラン(X)","","",""
"","ルナカブ","","4-4","アンジェリーナ(Y)"
"","ウィスパーレイン","","","メイ"
"","","","",""
"2-7","アンジェリーナ(X)","","4-6","トゥイエ"
"","ヘビーレイン","","","スノーズント"
"","カフカ","","","バブル"
"","カッター","","","ポデンコ"
"","メテオ","","",""
"","","","4-7","プロヴィソ"
"2-9","アルケット","","","ワイフー"
"","メイヤー","","","アンブリエル"
"","","","","ススーロ"
"2-10","パズィオンカ","","",""
"","ファイヤーウォッチ","","5-7","プラチナ"
"","グレースロート","","","グラウコス"
"","ワルファリン","","",""
"","クオーラ","","GT-6","スカジ(Y)"
"","プリン","","","グラニ"
"","","","",""
"3-1","ホシグマ(Y)","","SV-4","アイリーニ"
"","リー","","","ジェシカ"
"","シーン","","",""
"","キララ","","MN-2","ブレミシャイン"
"","カゼマル","","","ワイルドメイン"
"","ヴァーミル","","",""
"","","","",""
"3-3","ヴィグナ","","",""
"","ロープ","","",""
"","","","",""
"3-4","リィン","","",""
"","アズリウス","","",""
"","パフューマー","","",""
