"まとめは一覧２参照","","","Stage１","","","","","Stage2","","","","","Stage3","","","",""
"☆","職業","名前","モジュール数","素材","個数","龍門幣","ステージ名","モジュール数","データ補強棒数","素材","個数","龍門幣","モジュール数","データ補強機数","素材","個数","龍門幣"
"6","先鋒","バグパイプ","4","結晶制御装置","2","80000","4-5","4","60","ナノフレーク","3","100000","4","20","D32鋼","4","120000"
"6","先鋒","フレイムテイル","4","結晶制御装置","2","80000","NL-3","4","60","D32鋼","3","100000","4","20","融合剤","4","120000"
"6","先鋒","サガ","4","融合剤","2","80000","WR-1","4","60","ナノフレーク","3","100000","4","20","D32鋼","4","120000"
"6","先鋒","シージ","4","D32鋼","2","80000","1-7","4","60","融合剤","3","100000","4","20","ナノフレーク","4","120000"
"6","前衛","耀騎士ニアール","4","融合剤","2","80000","MN-8","4","60","結晶制御装置","3","100000","4","20","ナノフレーク","4","120000"
"6","前衛","アイリーニ","4","D32鋼","2","80000","SV-4","4","60","融合剤","3","100000","4","20","ナノフレーク","4","120000"
"6","前衛","パラス(X)","4","ナノフレーク","2","80000","3-6","4","60","結晶制御装置","3","100000","4","20","融合剤","4","120000"
"6","前衛","パラス(Y)","4","結晶制御装置","2","80000","4-3","4","60","ナノフレーク","3","100000","4","20","D32鋼","4","120000"
"6","前衛","スカジ(Y)","4","ナノフレーク","2","80000","GT-6","4","60","D32鋼","3","100000","4","20","結晶制御装置","4","120000"
"6","前衛","スカジ(X)","4","D32鋼","2","80000","GT-4","4","60","ナノフレーク","3","100000","4","20","結晶制御装置","4","120000"
"6","前衛","チェン","4","D32鋼","2","80000","5-8","4","60","結晶制御装置","3","100000","4","20","融合剤","4","120000"
"6","重装","ユーネクテス(X)","4","ナノフレーク","2","80000","RI-EX-4","4","60","D32鋼","3","100000","4","20","結晶制御装置","4","120000"
"6","重装","ユーネクテス(Y)","4","ナノフレーク","2","80000","RI-7","4","60","融合剤","3","100000","4","20","D32鋼","","120000"
"6","重装","サリア","4","融合剤","2","80000","MB-3","4","60","ナノフレーク","3","100000","4","20","D32鋼","4","120000"
"6","重装","ブレミシャイン","4","ナノフレーク","2","80000","MN-2","4","60","結晶制御装置","3","100000","4","20","融合剤","4","120000"
"6","重装","ニェン","4","結晶制御装置","2","80000","WR-9","4","60","融合剤","3","100000","4","20","ナノフレーク","4","120000"
"6","重装","ホシグマ(Y)","4","D32鋼","2","80000","3-1","4","60","ナノフレーク","3","100000","4","20","結晶制御装置","4","120000"
"6","重装","ホシグマ(X)","4","D32鋼","2","80000","6-4","4","60","ナノフレーク","3","100000","4","20","結晶制御装置","4","120000"
"6","狙撃","シュヴァルツ(X)","4","融合剤","2","80000","OF-7","4","60","D32鋼","3","100000","4","20","結晶制御装置","4","120000"
"6","狙撃","シュヴァルツ(Y)","4","結晶制御装置","2","80000","2-1","4","60","融合剤","3","100000","4","20","ナノフレーク","4","120000"
"6","狙撃","W","4","融合剤","2","80000","DM-3","4","60","ナノフレーク","3","100000","4","20","D32鋼","4","120000"
"6","狙撃","ファートゥース(X)","4","D32鋼","2","80000","S2-2","4","60","ナノフレーク","3","100000","4","20","結晶制御装置","4","120000"
"6","狙撃","ファートゥース(Y)","4","結晶制御装置","2","80000","2-5","4","60","D32鋼","3","100000","4","20","融合剤","4","120000"
"6","狙撃","フィアメッタ","4","ナノフレーク","2","80000","S5-9","4","60","結晶制御装置","3","100000","4","20","融合剤","4","120000"
"6","狙撃","エクシア","4","D32鋼","2","80000","4-10","4","60","結晶制御装置","3","100000","4","20","融合剤","4","120000"
