"素材名","レシピ","個数","下位レシピ","個数","合計","要求数","ステージ(左から順位順):ペンギン急便データ統計処理部","","","",""
"D32鋼","上級マンガン","1","マンガン","2","マンガン","2","10-16","10-7","7-16","3-2","OF-F4"
"","","","中級エステル","1","中級エステル","1","Sun Jul 03 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","RI-9","Mon May 02 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","WD-6","Mon Mar 07 2022 10:00:00 GMT-0500 (アメリカ東部標準時)"
"","","","合成コール","1","合成コール","1","Fri Oct 14 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Fri Jun 10 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","GT-5","Thu Sep 08 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sun Apr 03 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","上級砥石","1","砥石","1","砥石","1","Tue Oct 11 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Thu Sep 15 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Thu Apr 07 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Fri May 06 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Mar 02 2022 10:00:00 GMT-0500 (アメリカ東部標準時)"
"","","","中級異鉄","1","中級異鉄","1","Mon Oct 10 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sun Jul 17 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","S4-1","Thu Jun 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed May 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","中級装置","1","中級装置","1","Thu Jul 14 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon May 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","M8-8","Fri Sep 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Jun 15 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","RMA70-24","1","RMA70-12","1","RMA70-12","1","Sun Sep 18 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","RI-8","R8-9","Sat Jul 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","WD-8"
"","","","中級源岩","2","中級源岩","2","Wed Oct 05 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Tue Jul 05 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sat Jun 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","SV-7","Mon Sep 12 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","中級アケトン","1","中級アケトン","1","Mon Oct 03 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","JT8-3","Mon Feb 28 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","S9-1","Wed Jul 13 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"ナノフレーク","上級装置","1","中級装置","1","中級装置","1","Thu Jul 14 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon May 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","M8-8","Fri Sep 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Jun 15 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","中級源岩","2","中級源岩","2","Wed Oct 05 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Tue Jul 05 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sat Jun 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","SV-7","Mon Sep 12 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","砥石","1","砥石","1","Tue Oct 11 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Thu Sep 15 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Thu Apr 07 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Fri May 06 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Mar 02 2022 10:00:00 GMT-0500 (アメリカ東部標準時)"
"","上級合成コール","2","合成コール","1","合成コール","2","Fri Oct 14 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Fri Jun 10 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","GT-5","Thu Sep 08 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sun Apr 03 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","中級糖原","1","中級糖原","2","M8-7","OF-F3","DM-6","Mon Jul 11 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sun Sep 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
