"モジュール実装履歴","","","モジュール - アークナイツ攻略 Wiki",""
"","今日：","Mon May 15 2023 11:00:00 GMT-0400 (アメリカ東部夏時間)","",""
"職業","職分","グロ版","大陸版","大陸イベント→グロ版"
"前衛","教官","Thu Jan 13 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","Mon Aug 02 2021 11:00:00 GMT-0400 (アメリカ東部夏時間)","ドッソレスホリデー"
"補助","召喚師","Thu Jan 13 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","Mon Aug 02 2021 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"医療","群癒師","Sun Mar 06 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","Thu Sep 16 2021 11:00:00 GMT-0400 (アメリカ東部夏時間)","9章"
"狙撃","戦術射手","Sun Mar 06 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","Thu Sep 16 2021 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","ファートゥース(戦術射手X)","Wed Apr 13 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Thu Oct 14 2021 11:00:00 GMT-0400 (アメリカ東部夏時間)","赤松林"
"術師","連鎖術師","Wed Apr 27 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sun Oct 31 2021 11:00:00 GMT-0400 (アメリカ東部夏時間)","ニアーライト"
"特殊","執行者","Wed Apr 27 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sun Oct 31 2021 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"先鋒","突撃兵","Wed Jun 29 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Dec 20 2021 10:00:00 GMT-0500 (アメリカ東部標準時)","風雪一過"
"前衛","剣豪","Wed Jun 29 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Dec 20 2021 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"前衛","勇士","Thu Jul 28 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Jan 24 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","将進酒"
"特殊","行商人","Thu Jul 28 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Jan 24 2022 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"-","リィン(召喚師Y)","Thu Jul 28 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Jan 24 2022 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"射撃","榴弾射手","Thu Sep 15 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Mar 14 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","吾れ先導者たらん"
"術師","拡散術師","Thu Sep 15 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Mar 14 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"狙撃","精密射手","Tue Oct 18 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Apr 13 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","10章"
"補助","緩速師","Tue Oct 18 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Apr 13 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"特殊","傀儡師","Wed Nov 02 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sat Apr 30 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","狂人号"
"医療","療養師","Wed Nov 02 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sat Apr 30 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"重装","決闘者","Wed Nov 02 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sat Apr 30 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","アイリーニ(剣豪Y)","Wed Nov 02 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sat Apr 30 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"モジュールアップデート","","Mon Dec 26 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","Wed Jun 08 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","塵影の余韻"
"術師","秘術師","Mon Dec 26 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","Wed Jun 08 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"重装","庇護衛士","Mon Dec 26 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","Wed Jun 08 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","パッセンジャー(連鎖術師Y)","Mon Dec 26 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","Wed Jun 08 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","スカジ(勇士X)","Mon Dec 26 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","Wed Jun 08 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"特殊","鉤縄師","Thu Jan 12 2023 10:00:00 GMT-0500 (アメリカ東部標準時)","Wed Aug 10 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","理想都市"
"特殊","潜伏者","Thu Jan 12 2023 10:00:00 GMT-0500 (アメリカ東部標準時)","Wed Aug 10 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","パジョームカ(精密射手Y)","Thu Jan 12 2023 10:00:00 GMT-0500 (アメリカ東部標準時)","Wed Aug 10 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","ファートゥース(戦術射手Y)","Thu Jan 12 2023 10:00:00 GMT-0500 (アメリカ東部標準時)","Wed Aug 10 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","帰溟スペクター(傀儡師Y)","Thu Jan 12 2023 10:00:00 GMT-0500 (アメリカ東部標準時)","Wed Aug 10 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"狙撃","速射手","Mon Mar 13 2023 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Jul 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","翠玉の夢"
"-","アステジーニ(連鎖術師Y)","Mon Mar 13 2023 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Jul 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","パラス(教官Y)","Mon Mar 13 2023 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Jul 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","マゼラン(召喚師Y)","Mon Mar 13 2023 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Jul 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"重装","重盾衛士","Thu Mar 30 2023 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Sep 07 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","夕景に影ありて"
"-","プロヴァイゾ(緩速師X)","Thu Mar 30 2023 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Sep 07 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","エーベンホルツ(秘術師Y)","Thu Mar 30 2023 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Sep 07 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","ユーネクテス(決闘者Y)","Thu Mar 30 2023 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Sep 07 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"医療","医師","","Mon Sep 26 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","ローグライク#3"
"-","シー(拡散術師Y)","","Mon Sep 26 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","アンジェリーナ(緩速師X)","","Mon Sep 26 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"先鋒","先駆兵","","Mon Oct 31 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","イルシラクーザノ"
"-","血掟テキサス(執行者Y)","","Mon Oct 31 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","ルナカブ(戦術射手Y)","","Mon Oct 31 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","シュヴァルツ(精密射手Y)","","Mon Oct 31 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"-","ホシグマ(重装衛士X)","","Mon Oct 31 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)",""
"前衛","武者","","Wed Dec 14 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","照我以火"
"狙撃","破城射手","","Wed Dec 14 2022 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"-","アルモニ(秘術師X)","","Wed Dec 14 2022 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"-","アルケット(速射手X)","","Wed Dec 14 2022 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"-","ミヅキ(潜伏者Y)","","Wed Dec 14 2022 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"術師","中堅術師","","Mon Jan 16 2023 10:00:00 GMT-0500 (アメリカ東部標準時)","登临意"
"-","截云","","Mon Jan 16 2023 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"-","ルーメン(療養師Y)","","Mon Jan 16 2023 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"-","サリア(庇護衛士Y)","","Mon Jan 16 2023 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"特殊","推撃手","","Mon Mar 06 2023 10:00:00 GMT-0500 (アメリカ東部標準時)","落叶逐火"
"術師","爆撃術師","","Mon Mar 06 2023 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"-","キリンXヤトウ","","Mon Mar 06 2023 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"-","レウスSノイルホーン","","Mon Mar 06 2023 10:00:00 GMT-0500 (アメリカ東部標準時)",""
"-","シャイニング","","Mon Mar 06 2023 10:00:00 GMT-0500 (アメリカ東部標準時)",""
