"上級転化塩","","","","総要求数一覧","","","","","","","","昇進","スキル","特化","合計"
"","上級","昇進\n要求数","SR1-7\n要求数","S特化\n要求数","総数","","","","","","6","0","0","40","40"
"-","","8","0","43","51","","","","","","5","8","0","3","11"
"","","","","","","","","","","","4","0","0","0","0"
"☆","職業","名前","昇進\n1","昇進\n2","SR\n1-7","S1\n特化","S2\n特化","S3\n特化","合計","","3","0","0","0","0"
"6","先鋒","ヴィジェル","","","","8","","","8","","計","8","0","43","51"
"6","前衛","チョンユエ","","","","","4","4","8","","","","","",""
"6","重装","ペナンス","","","","4","4","","8","","","","","",""
"6","術師","リン","","","","","","8","8","","","","","",""
"6","医療","焔影リード","","","","","4","","4","","","","","",""
"6","特殊","血掟テキサス","","","","","","4","4","","","","","",""
"6","(小計)","★6","0","0","0","12","12","16","40","","","","","",""
"5","前衛","レウスSノイルホーン","","8","","3","","","11","","","","","",""
"5","","","","","","","","","","","","","","",""
"5","(小計)","★5","0","8","0","3","0","0","11","","","","","",""
"4","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","",""
"4","(小計)","★4","0","0","0","0","0","0","0","","","","","",""
