"中級エステル †","","","","総要求数一覧","","","","","","","","昇進","スキル","特化","合計"
"","中級","昇進\n要求数","SR1-7\n要求数","S特化\n要求数","総数","","","","","","6","0","14","20","34"
"-","","147","83","76","306","","","","","","5","64","47","32","143"
"","","","","","","","","","","","4","83","18","24","125"
"☆","職業","名前","昇進\n1","昇進\n2","SR\n1-7","S1\n特化","S2\n特化","S3\n特化","合計","","3","0","4","0","4"
"6","前衛","シルバーアッシュ","","","4","","6","","10","","計","147","83","76","306"
"6","重装","サリア","","","","","","6","6","","","","","",""
"6","術師","リン","","","","","","8","8","","","","","",""
"6","医療","ナイチンゲール","","","5","","","","5","","","","","",""
"6","補助","マゼラン","","","5","","","","5","","","","","",""
"6","(小計)","★6","0","0","14","0","6","14","34","","","","","",""
"5","前衛","インドラ","","16","","","","","16","","","","","",""
"5","前衛","スワイヤー","","17","","","","","17","","","","","",""
"5","前衛","ラップランド","","","3","","","","3","","","","","",""
"5","前衛","ダグザ","","","","","4","","4","","","","","",""
"5","前衛","レウスSノイルホーン","","","","4","","","4","","","","","",""
"5","重装","ニアール","","16","","","","","16","","","","","",""
"5","重装","バイソン","","","3","","","","3","","","","","",""
"5","重装","リスカム","","","5","3","","","8","","","","","",""
"5","狙撃","アズリウス","","","3","","3","","6","","","","","",""
"5","狙撃","イグゼキュター","","","","","3","","3","","","","","",""
"5","狙撃","プラチナ","","","5","3","","","8","","","","","",""
"5","医療","サイレンス","","","3","","","","3","","","","","",""
"5","医療","ブリーズ","","","3","","","","3","","","","","",""
"5","医療","パプリカ","","","3","","","","3","","","","","",""
"5","補助","プラマニクス","","","3","","","","3","","","","","",""
"5","特殊","エフイーター","","15","5","3","","","23","","","","","",""
"5","特殊","マンティコア","","","3","","3","","6","","","","","",""
"5","特殊","レッド","","","3","","3","","6","","","","","",""
"5","特殊","ワイフー","","","5","3","","","8","","","","","",""
"5","(小計)","★5","0","64","47","16","16","0","143","","","","","",""
"4","先鋒","テンニンカ","","","3","","4","","7","","","","","",""
"4","前衛","エステル","","","3","4","","","7","","","","","",""
"4","前衛","フロストリーフ","","","3","","4","","7","","","","","",""
"4","重装","クオーラ","","","3","","4","","7","","","","","",""
"4","重装","グム","","","3","4","","","7","","","","","",""
"4","重装","ジュナー","","","","4","","","4","","","","","",""
"4","狙撃","ヴァーミル","","18","","","","","18","","","","","",""
"4","狙撃","メイ","","12","","","","","12","","","","","",""
"4","狙撃","メテオ","","12","","","","","12","","","","","",""
"4","医療","ススーロ","","","3","","","","3","","","","","",""
"4","医療","ミルラ","","12","","","","","12","","","","","",""
"4","特殊","グラベル","","18","","","","","18","","","","","",""
"4","特殊","ショウ","","11","","","","","11","","","","","",""
"4","(小計)","★4","0","83","18","12","12","0","125","","","","","",""
"3","医療","アンセル","","","2","","","","2","","","","","",""
"3","医療","ハイビスカス","","","2","","","","2","","","","","",""
"3","(小計)","★3","0","0","4","0","0","0","4","","","","","",""
