"人工ゲル †","","","","総要求数一覧","","","","","","","","昇進","スキル","特化","合計"
"","中級","昇進\n要求数","SR1-7\n要求数","S特化\n要求数","総数","","","","","","6","0","62","91","153"
"-","","148","139","149","436","","","","","","5","83","69","42","194"
"","","","","","","","","","","","4","65","8","16","89"
"☆","職業","名前","昇進\n1","昇進\n2","SR\n1-7","S1\n特化","S2\n特化","S3\n特化","合計","","3","0","0","0","0"
"6","先鋒","サガ","","","4","3","","","7","","計","148","139","149","436"
"6","先鋒","フレイムテイル","","","4","","","","4","","","","","",""
"6","前衛","ソーンズ","","","","4","","","4","","","","","",""
"6","前衛","ブレイズ","","","4","","","","4","","","","","",""
"6","前衛","マウンテン","","","","","","4","4","","","","","",""
"6","前衛","耀騎士ニアール","","","","","4","","4","","","","","",""
"6","前衛","アイリーニ","","","4","4","","","8","","","","","",""
"6","前衛","百錬ガヴィル","","","","","4","","4","","","","","",""
"6","前衛","ムリナール","","","","","3","","3","","","","","",""
"6","前衛","チューバイ","","","3","","","","3","","","","","",""
"6","重装","ニェン","","","5","","","","5","","","","","",""
"6","重装","マドロック","","","4","","3","","7","","","","","",""
"6","重装","ユーネクテス","","","4","","","","4","","","","","",""
"6","狙撃","Ash","","","","","4","","4","","","","","",""
"6","狙撃","ファートゥース","","","","3","","","3","","","","","",""
"6","狙撃","フィアメッタ","","","5","","","3","8","","","","","",""
"6","狙撃","パゼオンカ","","","4","","","","4","","","","","",""
"6","術師","パッセンジャー","","","4","","","3","7","","","","","",""
"6","術師","カーネリアン","","","4","","3","","7","","","","","",""
"6","術師","ゴールデングロー","","","4","","","","4","","","","","",""
"6","術師","エーベンホルツ","","","","3","","","3","","","","","",""
"6","医療","ケルシー","","","","4","","","4","","","","","",""
"6","補助","スズラン","","","","","4","","4","","","","","",""
"6","補助","濁心スカジ","","","5","","","","5","","","","","",""
"6","補助","ノーシス","","","","","3","","3","","","","","",""
"6","補助","リィン","","","","","","4","4","","","","","",""
"6","補助","ステインレス","","","","5","","","5","","","","","",""
"6","特殊","ア","","","","","","4","4","","","","","",""
