"切削液","","","","総要求数一覧","","","","","","","","昇進","スキル","特化","合計"
"","中級","昇進\n要求数","SR1-7\n要求数","S特化\n要求数","総数","","","","","","6","0","27","33","60"
"-","","25","49","48","122","","","","","","5","25","22","12","59"
"","","","","","","","","","","","4","0","0","3","3"
"☆","職業","名前","昇進\n1","昇進\n2","SR\n1-7","S1\n特化","S2\n特化","S3\n特化","合計","","3","0","0","0","0"
"6","先鋒","フレイムテイル","","","","","5","","5","","計","25","49","48","122"
"6","先鋒","ヴィジェル","","","","","4","","4","","","","","",""
"6","前衛","チューバイ","","","5","","","6","11","","","","","",""
"6","重装","ホルン","","","5","","","","5","","","","","",""
"6","狙撃","パゼオンカ","","","","","5","","5","","","","","",""
"6","術師","ゴールデングロー","","","","","","5","5","","","","","",""
"6","術師","リン","","","3","","","","3","","","","","",""
"6","医療","ルーメン","","","","5","","","5","","","","","",""
"6","補助","リィン","","","5","","","","5","","","","","",""
"6","特殊","リー","","","4","","","","4","","","","","",""
"6","特殊","キリンRヤトウ","","","5","3","","","8","","","","","",""
"6","(小計)","★6","0","0","27","8","14","11","60","","","","","",""
"5","先鋒","ブラックナイト","","","3","","","","3","","","","","",""
"5","先鋒","カンタービレ","","","3","","","","3","","","","","",""
"5","先鋒","パズル","","","","","4","","4","","","","","",""
"5","前衛","レウスSノイルホーン","","","3","","","","3","","","","","",""
"5","重装","オーロラ","","","","2","","","2","","","","","",""
"5","重装","アッシュロック","","13","","","","","13","","","","","",""
"5","術師","カニパラート","","","3","","","","3","","","","","",""
"5","医療","ハニーベリー","","","3","","","","3","","","","","",""
"5","医療","濯塵ハイビスカス","","","","2","","","2","","","","","",""
"5","補助","クエルクス","","","","2","","","2","","","","","",""
"5","補助","ハイディ","","","3","","","","3","","","","","",""
"5","補助","ウインドフリット","","","4","","","","4","","","","","",""
"5","補助","プロヴァイゾ","","","","","2","","2","","","","","",""
"5","特殊","エンフォーサー","","12","","","","","12","","","","","",""
"5","(小計)","★5","0","25","22","6","6","0","59","","","","","",""
"4","前衛","羅小黒","","","","","3","","3","","","","","",""
"4","(小計)","★4","0","0","0","0","3","0","3","","","","","",""
