"★1～3育成リソース表","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","オペレーター一人LvMAXに必要な数値　※モジュールなどは含まず","","","","","","","","","","","","","","","","","","","","",""
"","","全オペレーター強化の必要数値","","","","","","","","","星6","星5","星４","星３","星２","星１","","","","","","","","","","","","","","",""
"","","","星３","星２","星１","総額","","","","Lv上限","50/80/90","50/70/80","45/60/70","40/55","30","30","","","","","","","","","","","","","","",""
"","","龍門幣","1768680","30215","24172","1823067","","","","龍門幣","1334796","819325","482003","104040","6043","6043","","","","","","","","","","","","","","",""
"","","経験値","1961800","49000","39200","2050000","","","","経験値","1111400","734400","484000","115400","9800","9800","","","","","","","","","","","","","","",""
"","","","","","","","","","","上中初入","555/1/1/0","366/2/1/0","241/1/2/1","57/1/1/0","4/1/4/0","4/1/4/0","","","","","","","","","","","","","","",""
"","","資源調達","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","龍門幣","CE-1","CE-2","CE-3","CE-4","CE-5","CE-6","","作戦記録1枚の経験値量","","","","","","","","","","","","","","","","","","","","",""
"","","入手量","1700","2800","4100","5700","7500","10000","","入門","初級","中級","上級","","","","","","","","","","","","","","","","","",""
"","","必要理性","10","15","20","25","30","36","","200","400","1000","2000","","","","","","","","","","","","","","","","","",""
"","","効率/1理性","170","186.66666666666666","205","228","250","277.77777777777777","","","","","","","","","","","","","","","","","","","","","","",""
"","","作戦記録","LS-1","LS-2","LS-3","LS-4※","LS-5","LS-6","","LS-4ドロップ誤差データ","","","","","","","","","","","","","","","","","","","","",""
"","","経験値換算","1600","2800","4000","5600","7400","10000","","入門/200","初級/400","中級/1,000","上級/2,000","合計","理性換算","比較","","","","","","","","","","","","","","",""
"","","必要理性","10","15","20","25","30","36","","1","2","1","1","4000","160","LS-1/160","","","","","","","","","","","","","","",""
"","","効率/1理性","160","186.66666666666666","200","224","246.66666666666666","277.77777777777777","","3","4","3","1","7200","288","LS-6/277.8","","","","","","","","","","","","","","",""
"","","※育成計算する場合は基地生産の龍門幣/経験値も考慮すること","","","","","","","","データ元：","コメント/物資調達/戦術演習 - アークナイツ攻略 Wiki","","","","","","","","","","","","","","","","","","","",""
"","","※LS-4はドロップで大きくブレあり。右表参照","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","★3スキルランク育成素材","","","","","","","","","","","","","","","","","","","","",""
"オペレーター情報","","","昇進0MAX","","昇進","昇進1MAX","","合計","","基礎（～3）","","","","","","初級（～5）","","","","","","中級（～7）","","","","","","","","",""
"☆","職業","名前","龍門幣","経験値","龍門幣","龍門幣","経験値","龍門幣","経験値","源岩鉱","破損装置","エステル原料","ブドウ糖","異鉄の欠片","アケトン試剤","初級源岩","初級装置","初級エステル","初級糖原","初級異鉄","初級アケトン","中級源岩","中級装置","中級エステル","中級糖原","中級異鉄","中級アケトン","マンガン","砥石","RMA70-12","合成コール"
