"焼結核凝晶","","","","総要求数一覧","","","","","","","","昇進","スキル","特化","合計"
"","高級","昇進\n要求数","SR1-7\n要求数","S特化\n要求数","総数","","","","","","6","6","0","36","42"
"-","","6","0","58","64","","","","","","5","0","0","20","20"
"","","","","","","","","","","","4","0","0","2","2"
"☆","職業","名前","昇進\n1","昇進\n2","SR\n1-7","S1\n特化","S2\n特化","S3\n特化","合計","","3","0","0","0","0"
"6","前衛","チョンユエ","","","","","","6","6","","計","6","0","58","64"
"6","前衛","チューバイ","","","","","6","","6","","","","","",""
"6","重装","ペナンス","","","","","","6","6","","","","","",""
"6","医療","焔影リード","","3","","6","","","9","","","","","",""
"6","特殊","血掟テキサス","","","","6","","","6","","","","","",""
"6","特殊","キリンRヤトウ","","3","","","","6","9","","","","","",""
"6","(小計)","★6","0","6","0","12","6","18","42","","","","","",""
"5","前衛","ダグザ","","","","","4","","4","","","","","",""
"5","前衛","レウスSノイルホーン","","","","","4","","4","","","","","",""
"5","狙撃","ルナカブ","","","","","4","","4","","","","","",""
"5","狙撃","ジエユン","","","","4","","","4","","","","","",""
"5","術師","ハーモニー","","","","","4","","4","","","","","",""
"5","(小計)","★5","0","0","0","4","16","0","20","","","","","",""
"4","前衛","クォーツ","","","","2","","","2","","","","","",""
"4","(小計)","★4","0","0","0","2","0","0","2","","","","","",""
