"結晶制御装置 †","","","","総要求数一覧","","","","","","","","昇進","スキル","特化","合計"
"","高級","昇進\n要求数","SR1-7\n要求数","S特化\n要求数","総数","","","","","","6","47","0","192","239"
"-","","47","0","310","357","","","","","","5","0","0","108","108"
"","","","","","","","","","","","4","0","0","10","10"
"☆","職業","名前","昇進\n1","昇進\n2","SR\n1-7","S1\n特化","S2\n特化","S3\n特化","合計","","3","0","0","0","0"
"6","先鋒","サイラッハ","","4","","6","","","10","","計","47","0","310","357"
"6","先鋒","ヴィジェル","","3","","","","6","9","","","","","",""
"6","前衛","マウンテン","","4","","","6","","10","","","","","",""
"6","前衛","パラス","","4","","6","","","10","","","","","",""
"6","前衛","耀騎士ニアール","","","","","","6","6","","","","","",""
"6","前衛","アイリーニ","","","","6","","","6","","","","","",""
"6","前衛","百錬ガヴィル","","","","6","","","6","","","","","",""
"6","前衛","ムリナール","","","","","","6","6","","","","","",""
"6","前衛","チョンユエ","","","","","6","","6","","","","","",""
"6","前衛","チューバイ","","3","","6","","","9","","","","","",""
"6","重装","マドロック","","4","","","","","4","","","","","",""
"6","重装","ホルン","","","","","6","","6","","","","","",""
"6","重装","ペナンス","","","","","6","","6","","","","","",""
"6","狙撃","Ash","","","","","6","","6","","","","","",""
"6","狙撃","アルケット","","","","","","6","6","","","","","",""
"6","狙撃","ロスモンティス","","","","6","","6","12","","","","","",""
"6","狙撃","遊龍チェン","","","","","","6","6","","","","","",""
"6","狙撃","フィアメッタ","","3","","6","","","9","","","","","",""
"6","狙撃","パゼオンカ","","3","","","6","","9","","","","","",""
"6","術師","シー","","4","","6","","6","16","","","","","",""
"6","術師","パッセンジャー","","","","","","6","6","","","","","",""
"6","術師","エーベンホルツ","","","","","","6","6","","","","","",""
"6","医療","ケルシー","","4","","","","6","10","","","","","",""
"6","医療","ルーメン","","4","","","6","","10","","","","","",""
"6","補助","ノーシス","","3","","6","","","9","","","","","",""
"6","補助","リィン","","","","","6","","6","","","","","",""
"6","補助","ステインレス","","","","","","6","6","","","","","",""
"6","特殊","グレイディーア","","4","","","6","","10","","","","","",""
"6","特殊","ミヅキ","","","","","6","","6","","","","","",""
"6","特殊","リー","","","","","6","","6","","","","","",""
"6","特殊","キリンRヤトウ","","","","","6","","6","","","","","",""
"6","(小計)","★6","0","47","0","54","72","66","239","","","","","",""
"5","先鋒","ブラックナイト","","","","","4","","4","","","","","",""
"5","先鋒","カンタービレ","","","","4","","","4","","","","","",""
"5","前衛","Tachanka","","","","","4","","4","","","","","",""
"5","前衛","アーミヤ(前衛)","","","","4","4","","8","","","","","",""
"5","前衛","テキーラ","","","","4","","","4","","","","","",""
"5","前衛","ハイモア","","","","4","","","4","","","","","",""
"5","前衛","レウスSノイルホーン","","","","4","","","4","","","","","",""
"5","重装","ヘビーレイン","","","","","4","","4","","","","","",""
"5","重装","アッシュロック","","","","4","","","4","","","","","",""
"5","重装","シャレム","","","","","4","","4","","","","","",""
"5","重装","ファイヤーホイッスル","","","","","4","","4","","","","","",""
"5","狙撃","ルナカブ","","","","4","","","4","","","","","",""
"5","術師","アイリス","","","","","4","","4","","","","","",""
"5","術師","炎獄ラヴァ","","","","","4","","4","","","","","",""
"5","術師","コロセラム","","","","4","","","4","","","","","",""
"5","術師","ロックロック","","","","","4","","4","","","","","",""
"5","術師","アステジーニ","","","","4","","","4","","","","","",""
"5","術師","ハーモニー","","","","4","","","4","","","","","",""
"5","医療","ハニーベリー","","","","4","","","4","","","","","",""
"5","医療","濯塵ハイビスカス","","","","","4","","4","","","","","",""
"5","補助","九色鹿","","","","4","","","4","","","","","",""
"5","補助","ウインドフリット","","","","","4","","4","","","","","",""
"5","特殊","Frost","","","","","4","","4","","","","","",""
"5","特殊","カフカ","","","","","4","","4","","","","","",""
"5","特殊","ベナ","","","","4","","","4","","","","","",""
"5","特殊","カゼマル","","","","","4","","4","","","","","",""
"5","(小計)","★5","0","0","0","52","56","0","108","","","","","",""
"4","先鋒","ビーンストーク","","","","","2","","2","","","","","",""
"4","前衛","羅小黒","","","","","2","","2","","","","","",""
"4","狙撃","トター","","","","","2","","2","","","","","",""
"4","術師","インディゴ","","","","","2","","2","","","","","",""
"4","術師","プリン","","","","","2","","2","","","","","",""
"4","(小計)","★4","0","0","0","0","10","0","10","","","","","",""
