"転化塩","","","","総要求数一覧","","","","","","","","昇進","スキル","特化","合計"
"","中級","昇進\n要求数","SR1-7\n要求数","S特化\n要求数","総数","","","","","","6","0","15","7","22"
"-","","0","24","21","45","","","","","","5","0","9","11","20"
"","","","","","","","","","","","4","0","0","3","3"
"☆","職業","名前","昇進\n1","昇進\n2","SR\n1-7","S1\n特化","S2\n特化","S3\n特化","合計","","3","0","0","0","0"
"6","前衛","チョンユエ","","","6","","","","6","","計","0","24","21","45"
"6","術師","リン","","","6","","","","6","","","","","",""
"6","医療","焔影リード","","","","","3","","3","","","","","",""
"6","特殊","血掟テキサス","","","3","4","","","7","","","","","",""
"6","(小計)","★6","0","0","15","4","3","0","22","","","","","",""
"5","先鋒","パズル","","","","5","","","5","","","","","",""
"5","前衛","ダグザ","","","3","3","","","6","","","","","",""
"5","前衛","ウィンドチャイム","","","","3","","","3","","","","","",""
"5","前衛","レウスSノイルホーン","","","2","","","","2","","","","","",""
"5","狙撃","ルナカブ","","","4","","","","4","","","","","",""
"5","(小計)","★5","0","0","9","11","0","0","20","","","","","",""
"4","前衛","クォーツ","","","","1","","","1","","","","","",""
"4","狙撃","トター","","","","2","","","2","","","","","",""
"4","(小計)","★4","0","0","0","3","0","0","3","","","","","",""
